TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,prevalence,seed,model,strategy
3823,97,71,9,0.958,0.1125,0.9752551020408163,0.5438775510204081,0.08490566037735849,0.0967741935483871,0.7772448979591837,0.06184433021412551,0.5,0.02,4,lgb,lgb_focal
2257,1663,9,71,0.582,0.8875,0.575765306122449,0.7316326530612245,0.040945790080738176,0.0782800441014333,0.7985825892857144,0.06374736695610748,0.0013103973978474597,0.02,4,lgb,lgb_threshold
3027,893,20,60,0.77175,0.75,0.7721938775510204,0.7610969387755102,0.06295907660020986,0.11616650532429815,0.8175860969387756,0.100224355205101,0.5,0.02,5,logreg,focal
3916,4,79,1,0.97925,0.0125,0.9989795918367347,0.5057397959183674,0.2,0.023529411764705885,0.7381728316326531,0.08984081451697831,0.5,0.02,5,lgb,lgb_default
3819,101,63,17,0.959,0.2125,0.974234693877551,0.5933673469387755,0.1440677966101695,0.17171717171717174,0.7553603316326531,0.08761163021492185,0.5,0.02,5,lgb,lgb_weight
3813,107,64,16,0.95725,0.2,0.9727040816326531,0.5863520408163265,0.13008130081300814,0.1576354679802956,0.7949457908163265,0.09742334542311962,0.5,0.02,5,lgb,lgb_focal
3123,797,34,46,0.79225,0.575,0.7966836734693877,0.6858418367346939,0.054567022538552785,0.09967497291440952,0.7381728316326531,0.08984081451697831,0.00572370026005708,0.02,5,lgb,lgb_threshold
3064,856,17,63,0.78175,0.7875,0.7816326530612245,0.7845663265306122,0.06855277475516866,0.12612612612612611,0.8612914540816328,0.13648151509516976,0.5,0.02,6,logreg,focal
3912,8,79,1,0.97825,0.0125,0.9979591836734694,0.5052295918367347,0.1111111111111111,0.022471910112359553,0.7979942602040816,0.08435133870430628,0.5,0.02,6,lgb,lgb_default
3806,114,70,10,0.954,0.125,0.9709183673469388,0.5479591836734694,0.08064516129032258,0.09803921568627451,0.7611160714285714,0.06319027111211117,0.5,0.02,6,lgb,lgb_weight
3813,107,61,19,0.958,0.2375,0.9727040816326531,0.6051020408163266,0.15079365079365079,0.18446601941747573,0.7680516581632654,0.08913803690842274,0.5,0.02,6,lgb,lgb_focal
2425,1495,11,69,0.6235,0.8625,0.6186224489795918,0.7405612244897959,0.04411764705882353,0.08394160583941607,0.7979942602040816,0.08435133870430628,0.002138534674800776,0.02,6,lgb,lgb_threshold
3049,871,21,59,0.777,0.7375,0.7778061224489796,0.7576530612244898,0.06344086021505377,0.11683168316831682,0.8304368622448981,0.12582077520712304,0.5,0.02,7,logreg,focal
3916,4,79,1,0.97925,0.0125,0.9989795918367347,0.5057397959183674,0.2,0.023529411764705885,0.7353029336734694,0.07527975632433599,0.5,0.02,7,lgb,lgb_default
3825,95,71,9,0.9585,0.1125,0.9757653061224489,0.5441326530612245,0.08653846153846154,0.09782608695652173,0.7634024234693877,0.07460979722135398,0.5,0.02,7,lgb,lgb_weight
3831,89,72,8,0.95975,0.1,0.977295918367347,0.5386479591836735,0.08247422680412371,0.0903954802259887,0.7553380102040816,0.06711265560754735,0.5,0.02,7,lgb,lgb_focal
2970,950,34,46,0.754,0.575,0.7576530612244898,0.6663265306122449,0.04618473895582329,0.08550185873605948,0.7353029336734694,0.07527975632433599,0.00443641096538507,0.02,7,lgb,lgb_threshold
2955,965,21,59,0.7535,0.7375,0.7538265306122449,0.7456632653061225,0.0576171875,0.1068840579710145,0.8063807397959183,0.11709926137194404,0.5,0.02,8,logreg,focal
3916,4,79,1,0.97925,0.0125,0.9989795918367347,0.5057397959183674,0.2,0.023529411764705885,0.7030644132653061,0.04381958280942617,0.5,0.02,8,lgb,lgb_default
