TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,dataset,prevalence,seed,model,strategy
3917,3,80,0,0.97925,0.0,0.999234693877551,0.4996173469387755,0.0,0.0,0.781485969387755,0.06606650170346508,0.5,cardio,0.02,0,logreg,default
3109,811,27,53,0.7905,0.6625,0.7931122448979592,0.7278061224489796,0.061342592592592594,0.11228813559322035,0.7942984693877551,0.068606467257377,0.5,cardio,0.02,0,logreg,weight
2987,933,23,57,0.761,0.7125,0.7619897959183674,0.7372448979591837,0.05757575757575758,0.10654205607476634,0.7917889030612245,0.06572277146583254,0.5,cardio,0.02,0,logreg,undersample
3109,811,26,54,0.79075,0.675,0.7931122448979592,0.7340561224489797,0.06242774566473988,0.11428571428571428,0.789202806122449,0.06597868788916848,0.5,cardio,0.02,0,logreg,smote
2199,1721,13,67,0.5665,0.8375,0.5609693877551021,0.6992346938775511,0.03747203579418344,0.07173447537473232,0.781485969387755,0.06606650170346508,0.013427635613926037,cardio,0.02,0,logreg,threshold
2728,1192,16,64,0.698,0.8,0.6959183673469388,0.7479591836734694,0.050955414012738856,0.09580838323353294,0.7942984693877551,0.068606467257377,0.42543524839015445,cardio,0.02,0,logreg,weight+threshold
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.7000685586734694,0.04494295065871592,0.5,cardio,0.02,0,rf,default
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.7018080357142857,0.04357624156905604,0.5,cardio,0.02,0,rf,weight
2754,1166,22,58,0.703,0.725,0.7025510204081633,0.7137755102040817,0.04738562091503268,0.08895705521472393,0.7777774234693877,0.07663240357723158,0.5,cardio,0.02,0,rf,undersample
3836,84,79,1,0.95925,0.0125,0.9785714285714285,0.49553571428571425,0.011764705882352941,0.012121212121212123,0.7004815051020409,0.03656107342990398,0.5,cardio,0.02,0,rf,smote
3077,843,39,41,0.7795,0.5125,0.7849489795918367,0.6487244897959183,0.04638009049773756,0.0850622406639004,0.7000685586734694,0.04494295065871592,0.02666666666666667,cardio,0.02,0,rf,threshold
2965,955,32,48,0.75325,0.6,0.7563775510204082,0.6781887755102041,0.047856430707876374,0.0886426592797784,0.7018080357142857,0.04357624156905604,0.02,cardio,0.02,0,rf,weight+threshold
3918,2,80,0,0.9795,0.0,0.9994897959183674,0.4997448979591837,0.0,0.0,0.7668064413265305,0.054045297473945306,0.5,cardio,0.02,0,hgb,default
3384,536,35,45,0.85725,0.5625,0.863265306122449,0.7128826530612244,0.0774526678141136,0.1361573373676248,0.7642474489795918,0.06294942374893275,0.5,cardio,0.02,0,hgb,weight
2626,1294,21,59,0.67125,0.7375,0.6698979591836735,0.7036989795918367,0.04360679970436068,0.08234473133286813,0.7505707908163264,0.08277294439027513,0.5,cardio,0.02,0,hgb,undersample
3827,93,77,3,0.9575,0.0375,0.9762755102040817,0.5068877551020409,0.03125,0.03409090909090909,0.6855803571428571,0.04065634049099701,0.5,cardio,0.02,0,hgb,smote
3217,703,33,47,0.816,0.5875,0.8206632653061224,0.7040816326530612,0.06266666666666666,0.11325301204819277,0.7668064413265305,0.054045297473945306,0.020557659084480668,cardio,0.02,0,hgb,threshold
3273,647,32,48,0.83025,0.6,0.8349489795918368,0.7174744897959184,0.06906474820143885,0.1238709677419355,0.7642474489795918,0.06294942374893275,0.44168841665329156,cardio,0.02,0,hgb,weight+threshold
3916,4,80,0,0.979,0.0,0.9989795918367347,0.49948979591836734,0.0,0.0,0.7865593112244899,0.07985612907342153,0.5,cardio,0.02,1,logreg,default
3052,868,25,55,0.77675,0.6875,0.7785714285714286,0.7330357142857142,0.059588299024918745,0.10967098703888334,0.7868207908163265,0.08308140115712614,0.5,cardio,0.02,1,logreg,weight
3005,915,24,56,0.76525,0.7,0.7665816326530612,0.7332908163265306,0.057672502574665295,0.1065651760228354,0.7886320153061224,0.08016588679270152,0.5,cardio,0.02,1,logreg,undersample
