TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,prevalence,seed,model,strategy
2981,939,27,53,0.7585,0.6625,0.7604591836734694,0.7114795918367347,0.05342741935483871,0.09888059701492537,0.7663153698979592,0.08457519012875686,0.02,0.02,0,rf,weight+threshold
3916,4,79,1,0.97925,0.0125,0.9989795918367347,0.5057397959183674,0.2,0.023529411764705885,0.7981441326530612,0.08123239619729368,0.5,0.02,0,hgb,default
3422,498,39,41,0.86575,0.5125,0.8729591836734694,0.6927295918367347,0.07606679035250463,0.13247172859450726,0.8236256377551021,0.10478789069960343,0.5,0.02,0,hgb,weight
2708,1212,19,61,0.69225,0.7625,0.6908163265306122,0.7266581632653061,0.047918303220738416,0.09016999260901701,0.8042075892857142,0.08435574651032475,0.5,0.02,0,hgb,undersample
3896,24,79,1,0.97425,0.0125,0.9938775510204082,0.5031887755102041,0.04,0.019047619047619046,0.7984295280612246,0.07915485634986505,0.5,0.02,0,hgb,smote
2277,1643,13,67,0.586,0.8375,0.5808673469387755,0.7091836734693877,0.0391812865497076,0.07486033519553072,0.7981441326530612,0.08123239619729368,0.007866750638970011,0.02,0,hgb,threshold
2471,1449,11,69,0.635,0.8625,0.6303571428571428,0.7464285714285714,0.045454545454545456,0.08635794743429287,0.8236256377551021,0.10478789069960343,0.18889838575085885,0.02,0,hgb,weight+threshold
3919,1,80,0,0.97975,0.0,0.9997448979591836,0.4998724489795918,0.0,0.0,0.8213233418367348,0.10359001070739571,0.5,0.02,1,logreg,default
2949,971,20,60,0.75225,0.75,0.752295918367347,0.7511479591836735,0.058195926285160036,0.10801080108010801,0.8166326530612245,0.10924905713178878,0.5,0.02,1,logreg,weight
2776,1144,17,63,0.70975,0.7875,0.7081632653061225,0.7478316326530612,0.05219552609776305,0.0979020979020979,0.809343112244898,0.09304071431311636,0.5,0.02,1,logreg,undersample
